
📺央视频道,#genre#
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合0,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-1综合0,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV-1综合1,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-1综合2,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-1综合2,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV-1综合4,http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV-1综合4,http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8
CCTV-1综合7,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
CCTV1,http://218.204.51.252:9901/tsfile/live/1006_1.m3u8
CCTV1,http://183.63.15.42:9901/tsfile/live/0001_1.m3u8
CCTV1,http://42.176.185.28:9901/tsfile/live/1022_1.m3u8
CCTV1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls
CCTV1,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/index.m3u8
CCTV1,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/2300.m3u8
